pays,id,amphe,amphe_year,cocaine_year,cocaine,cannabis,cannabis_year,ecta,ecta_year,opio,opio_year,sedatifs,sedatifs_year
Nouvelle-Zélande,New Zealand,2.1,2007,2007,0.6,14.6,2007,2.6,2007,1.1,2007,1.7,2007
Nicaragua,Nicaragua,0.76,2003,2006,0.69,1.07,2006,0.01,2006,0.02,2006,,
Niger,Niger,,,,,,,,,0.2,2004,,
Nigeria,Nigeria,1.4,2008,2008,0.7,14.3,2008,,,0.7,2008,,
Norvège,Norway,0.6,2013,2013,0.9,5.1,2013,0.4,2013,0.3,2008,,
Pakistan,Pakistan,0.12,2012,2012,0.01,3.6,2012,,,2.4,2012,1.4,2012
Panama,Panama,1.2,2003,2003,1.2,3.55,2003,0.4,2003,,,,
Paraguay,Paraguay,0.51,2005,2003,0.25,1.6,2005,0.09,2005,0.03,2003,,
Pérou,Peru,0.11,2010,2010,0.7,1.03,2010,0.04,2010,0.18,2005,1.29,2010
Philippines,Philippines,2.13,2008,2005,0.03,0.74,2008,0.18,2004,0.04,2011,,
Pologne,Poland,0.6,2012,2012,0.2,3.8,2012,0.1,2012,0.1,2012,2.2,2012
Protugal,Portugal,0.05,2012,2012,0.2,2.7,2012,0.3,2012,0.29,2012,0.6,2012
Porto Rico,Puerto Rico,0.43,2005,2005,0.83,4.88,2005,0.42,2005,,,,
Corée du sud,South Korea,0.12,2004,2004,0.03,0.29,2004,0.08,2004,0.08,2004,,
Moldavie,Moldova,0.03,2008,2008,0.04,0.7,2010,0.1,2010,0.12,2011,0.5,2011
Roumanie,Romania,0.03,2010,2010,0.1,0.3,2010,0.2,2010,0.11,2011,2.1,2010
Russie,Russia,0.39,2007,2007,0.23,3.49,2007,0.68,2007,2.29,2010,,
Rwanda,Rwanda,,,,,,,,,0.14,2004,,
Sainte-Lucie,Saint Lucia,,,2010,0.6,8.87,2010,0.17,2010,,,,
Arabie Saoudite,Saudi Arabia,0.4,2006,,,0.3,2006,,,0.06,2006,,
Sénégal,Senegal,,,,,,,,,0.08,2006,,
Serbie,Serbia,0.1,2014,2014,0.1,1.6,2014,0.1,2014,5.15,2014,,
Seychelles,Seychelles,,,,,,,,,2.3,2011,,
Sierra Leone,Sierra Leone,,,,,5.42,2010,,,0.17,2004,,
Singapour,Singapore,,,,,,,,,0.33,2010,,
Slovaquie,Slovakia,0.12,2010,2010,0.2,3.63,2010,0.46,2010,0.13,2008,4,2006
Slovénie,Slovenia,0.3,2012,2012,0.5,4.4,2012,0.3,2012,0.44,2011,,
Somalie,Somalia,,,,,,,,,0.16,2004,,
Afrique du Sud,South Africa,1.02,2008,2011,1.02,3.65,2011,0.31,2011,0.5,2008,,
Espagne,Spain,0.6,2011,2011,2.3,9.6,2011,0.7,2011,0.21,2012,1.2,2011
Sri Lanka,Sri Lanka,,,,,1.43,2010,,,0.33,2010,,
Suriname,Suriname,0.5,2007,2007,0.3,4.25,2007,0.1,2007,,,,
Swaziland,Swaziland,,,,,,,,,0.17,2004,,
Suède,Sweden,0.72,2013,2013,0.38,3.16,2013,0.1,2008,0.53,2013,2.78,2013
Suisse,Switzerland,0.27,2013,2013,0.5,5.7,2013,0.22,2013,0.1,2013,,
Syrie,Syria,,,2005,0,,,,,0.02,2005,,
Taïwan,Taiwan,0.6,2005,2005,0.1,0.3,2005,0.52,2005,0.2,2005,,
Tadjikistan,Tajikistan,,,,,,,,,0.54,2006,,
Thaïlande,Thailand,1.4,2007,2007,0.05,1.2,2007,0.3,2007,0.2,2007,,
Macédoine,Macedonia,,,2007,0.08,0.63,2008,0.75,2008,0.5,2005,10,2008
Togo,Togo,,,,,1,2009,,,,,,
Trinité-et-Tobago,Trinidad and Tobago,0.7,2006,2010,0.48,4.03,2010,0.14,2010,,,,
Tunisie,Tunisia,,,,,,,,,0.12,2011,,
dinde,Turkey,0.2,2003,2003,0.04,0.3,2011,0.26,2003,0.03,2011,5.1,2011
Turkménistan,Turkmenistan,,,,,,,,,0.32,2007,,
Ouganda,Uganda,,,,,,,,,0.05,2004,,
Ukraine,Ukraine,0.72,2011,2011,0.52,2.9,2011,0.93,2011,0.91,2009,,
Emirats Arabes Unis,United Arab Emirates,,,,,5.35,2006,,,0.02,2004,,
Royaume-Uni,United Kingdom,0.90,2011-2013,2011-2013,1.90,6.00,2011-2013,1.37,2011-2013,0.12,2006,0.45,2013
États-Unis,United States of America,1.9,2013,2013,2.15,15.4,2013,1.2,2013,5.39,2013,2.6,2013
Uruguay,Uruguay,0.01,2011,2011,2.1,8.3,2011,0.2,2011,0.18,2011,1.3,2011
Ouzbékistan,Uzbekistan,,,,,4.2,2003,,,0.8,2006,,
Venezuela,Venezuela,0.47,2011,2011,0.64,1.56,2011,0.13,2011,0.03,2011,2.13,2011
Viêt-Nam,Vietnam,0.22,2003,,,,,0.22,2003,0.53,2011,,
Zambie,Zambia,0.1,2003,,,9.5,2004,0.3,2003,0.37,2003,,
Zimbabwe,Zimbabwe,,,,,,,,,0.04,2004,,
